lexeme	frequency of lexeme	sclasses num	num correct mlp	num all mlp	mode	model	score
역량	1	1	27	32	general	w2v	84.375
오차	2	1	51	64	general	w2v	79.6875
힘	9	3	255	288	general	w2v	88.5417
위안	1	1	30	32	general	w2v	93.75
경남	1	1	30	32	general	w2v	93.75
예방	2	1	55	64	general	w2v	85.9375
관련	8	1	228	256	general	w2v	89.0625
세상	17	3	486	544	general	w2v	89.3382
티브이	1	1	29	32	general	w2v	90.625
반대	5	1	145	160	general	w2v	90.625
독일	2	1	57	64	general	w2v	89.0625
수사	3	1	87	96	general	w2v	90.625
의자	1	1	30	32	general	w2v	93.75
인용	1	1	29	32	general	w2v	90.625
대처	1	1	31	32	general	w2v	96.875
감지	1	1	30	32	general	w2v	93.75
금리	2	1	56	64	general	w2v	87.5
실현	1	1	31	32	general	w2v	96.875
전략	1	1	28	32	general	w2v	87.5
신약	1	1	30	32	general	w2v	93.75
구매	1	1	31	32	general	w2v	96.875
두려움	1	1	27	32	general	w2v	84.375
형편	2	1	57	64	general	w2v	89.0625
협의	3	1	83	96	general	w2v	86.4583
인원	1	1	29	32	general	w2v	90.625
장편	2	2	52	64	general	w2v	81.25
패스	1	1	30	32	general	w2v	93.75
진심	3	1	83	96	general	w2v	86.4583
달걀	1	1	28	32	general	w2v	87.5
우승	3	1	88	96	general	w2v	91.6667
러시아	1	1	30	32	general	w2v	93.75
대상	9	1	255	288	general	w2v	88.5417
개시	1	1	30	32	general	w2v	93.75
발행	2	2	58	64	general	w2v	90.625
특사	1	1	30	32	general	w2v	93.75
거금	1	1	29	32	general	w2v	90.625
부엌	1	1	28	32	general	w2v	87.5
음성	1	1	30	32	general	w2v	93.75
지하	2	1	56	64	general	w2v	87.5
캠페인	1	1	31	32	general	w2v	96.875
환자	3	1	88	96	general	w2v	91.6667
보강	1	1	30	32	general	w2v	93.75
배신	1	1	31	32	general	w2v	96.875
반항	1	1	32	32	general	w2v	100.0
모임	1	1	29	32	general	w2v	90.625
실천	2	1	60	64	general	w2v	93.75
임신	1	1	30	32	general	w2v	93.75
전승	1	1	30	32	general	w2v	93.75
등장	1	1	30	32	general	w2v	93.75
섭취	1	1	31	32	general	w2v	96.875
근처	1	1	30	32	general	w2v	93.75
기행	1	1	31	32	general	w2v	96.875
비판	4	1	117	128	general	w2v	91.4062
호남	1	1	28	32	general	w2v	87.5
가슴	12	1	368	384	general	w2v	95.8333
임용	1	1	30	32	general	w2v	93.75
재직	1	1	32	32	general	w2v	100.0
씨	1	1	29	32	general	w2v	90.625
치즈	1	1	29	32	general	w2v	90.625
문	2	2	54	64	general	w2v	84.375
적용	4	1	113	128	general	w2v	88.2812
선별	1	1	31	32	general	w2v	96.875
준비	6	1	155	192	general	w2v	80.7292
음악	6	1	173	192	general	w2v	90.1042
국방	1	1	31	32	general	w2v	96.875
이행	1	1	32	32	general	w2v	100.0
마음	51	2	1573	1632	general	w2v	96.3848
서명	2	1	55	64	general	w2v	85.9375
실패	4	1	113	128	general	w2v	88.2812
과잉	1	1	30	32	general	w2v	93.75
공격	1	1	30	32	general	w2v	93.75
스스로	1	1	30	32	general	w2v	93.75
논의	4	1	116	128	general	w2v	90.625
기원	1	1	31	32	general	w2v	96.875
신청	5	2	143	160	general	w2v	89.375
배출	1	1	28	32	general	w2v	87.5
확정	2	1	57	64	general	w2v	89.0625
조화	1	1	30	32	general	w2v	93.75
권력	1	1	31	32	general	w2v	96.875
사내	3	1	78	96	general	w2v	81.25
학원	2	1	56	64	general	w2v	87.5
거부	2	1	61	64	general	w2v	95.3125
협상	1	1	30	32	general	w2v	93.75
정년	1	1	29	32	general	w2v	90.625
대표	14	2	386	448	general	w2v	86.1607
황제	1	1	29	32	general	w2v	90.625
시인	2	1	56	64	general	w2v	87.5
권	1	1	28	32	general	w2v	87.5
인증	1	1	30	32	general	w2v	93.75
조정	2	2	57	64	general	w2v	89.0625
가구	3	2	89	96	general	w2v	92.7083
개발	6	2	173	192	general	w2v	90.1042
배달	1	1	29	32	general	w2v	90.625
구분	1	1	30	32	general	w2v	93.75
전제	1	1	30	32	general	w2v	93.75
신뢰	2	1	57	64	general	w2v	89.0625
요청	5	2	145	160	general	w2v	90.625
날씨	4	1	112	128	general	w2v	87.5
빙수	1	1	31	32	general	w2v	96.875
창조	1	1	29	32	general	w2v	90.625
압도	1	1	31	32	general	w2v	96.875
주목	1	1	30	32	general	w2v	93.75
근무	2	1	55	64	general	w2v	85.9375
프로젝트	1	1	30	32	general	w2v	93.75
해외	3	1	77	96	general	w2v	80.2083
애	2	1	60	64	general	w2v	93.75
국정	1	1	28	32	general	w2v	87.5
의도	2	2	59	64	general	w2v	92.1875
이념	2	1	54	64	general	w2v	84.375
쓰레기	1	1	31	32	general	w2v	96.875
자료	5	1	152	160	general	w2v	95.0
희생	1	1	31	32	general	w2v	96.875
문제	22	3	651	704	general	w2v	92.4716
수분	2	1	58	64	general	w2v	90.625
만찬	1	1	29	32	general	w2v	90.625
애초	2	1	60	64	general	w2v	93.75
억압	1	1	31	32	general	w2v	96.875
안전	4	1	111	128	general	w2v	86.7188
현대	1	1	30	32	general	w2v	93.75
발생	4	1	114	128	general	w2v	89.0625
안경	2	1	56	64	general	w2v	87.5
시야	1	1	29	32	general	w2v	90.625
북한	10	1	285	320	general	w2v	89.0625
방법	6	1	168	192	general	w2v	87.5
고생	1	1	29	32	general	w2v	90.625
장남	1	1	31	32	general	w2v	96.875
구간	4	1	116	128	general	w2v	90.625
금액	1	1	30	32	general	w2v	93.75
글	1	1	30	32	general	w2v	93.75
복종	1	1	27	32	general	w2v	84.375
조사	8	1	244	256	general	w2v	95.3125
단순	1	1	30	32	general	w2v	93.75
종전	1	1	30	32	general	w2v	93.75
자신	16	1	490	512	general	w2v	95.7031
차관	1	1	31	32	general	w2v	96.875
조각	2	1	59	64	general	w2v	92.1875
신앙	1	1	30	32	general	w2v	93.75
애국	1	1	29	32	general	w2v	90.625
집합	1	1	30	32	general	w2v	93.75
당일	1	1	29	32	general	w2v	90.625
접수	1	1	29	32	general	w2v	90.625
선출	1	1	31	32	general	w2v	96.875
세비야	1	1	30	32	general	w2v	93.75
통지	1	1	32	32	general	w2v	100.0
주체	1	1	31	32	general	w2v	96.875
다수	1	1	28	32	general	w2v	87.5
국회	7	1	193	224	general	w2v	86.1607
국립	1	1	30	32	general	w2v	93.75
요구	3	1	89	96	general	w2v	92.7083
곁	3	1	91	96	general	w2v	94.7917
국법	1	1	30	32	general	w2v	93.75
손	1	1	30	32	general	w2v	93.75
원고	1	1	29	32	general	w2v	90.625
구	4	2	111	128	general	w2v	86.7188
책상	2	1	56	64	general	w2v	87.5
육성	2	1	59	64	general	w2v	92.1875
취임	5	1	150	160	general	w2v	93.75
비난	1	1	32	32	general	w2v	100.0
피아니스트	2	1	64	64	general	w2v	100.0
범위	1	1	30	32	general	w2v	93.75
승부	2	1	59	64	general	w2v	92.1875
공급	5	1	145	160	general	w2v	90.625
실태	1	1	30	32	general	w2v	93.75
신부	1	1	30	32	general	w2v	93.75
말	10	2	273	320	general	w2v	85.3125
추억	3	1	89	96	general	w2v	92.7083
거절	2	1	59	64	general	w2v	92.1875
축하	1	1	30	32	general	w2v	93.75
등록	3	1	87	96	general	w2v	90.625
고집	1	1	29	32	general	w2v	90.625
별명	1	1	30	32	general	w2v	93.75
꼴	1	1	29	32	general	w2v	90.625
라이터	1	1	30	32	general	w2v	93.75
인기	2	1	59	64	general	w2v	92.1875
반감	1	1	30	32	general	w2v	93.75
지디피	1	1	29	32	general	w2v	90.625
행위	2	2	58	64	general	w2v	90.625
법률	1	1	29	32	general	w2v	90.625
교회	1	1	30	32	general	w2v	93.75
옷	2	1	58	64	general	w2v	90.625
감사	4	2	117	128	general	w2v	91.4062
보호	1	1	31	32	general	w2v	96.875
공약	3	1	82	96	general	w2v	85.4167
보장	3	1	84	96	general	w2v	87.5
정비	2	1	61	64	general	w2v	95.3125
세기	1	1	30	32	general	w2v	93.75
추신	1	1	30	32	general	w2v	93.75
결승	3	1	90	96	general	w2v	93.75
승리	4	1	116	128	general	w2v	90.625
부처	2	1	58	64	general	w2v	90.625
날	1	1	31	32	general	w2v	96.875
작업	3	2	85	96	general	w2v	88.5417
친구	13	2	385	416	general	w2v	92.5481
부여	1	1	30	32	general	w2v	93.75
철	1	1	27	32	general	w2v	84.375
다양	9	1	266	288	general	w2v	92.3611
원망	2	1	60	64	general	w2v	93.75
고민	2	1	54	64	general	w2v	84.375
데이터	1	1	27	32	general	w2v	84.375
뒤	34	2	983	1088	general	w2v	90.3493
오후	1	1	31	32	general	w2v	96.875
정책	10	1	274	320	general	w2v	85.625
상실	1	1	29	32	general	w2v	90.625
일본	1	1	29	32	general	w2v	90.625
단가	1	1	29	32	general	w2v	90.625
문건	1	1	32	32	general	w2v	100.0
압력	2	1	55	64	general	w2v	85.9375
예외	1	1	31	32	general	w2v	96.875
위반	2	1	58	64	general	w2v	90.625
모집	1	1	29	32	general	w2v	90.625
세부	1	1	30	32	general	w2v	93.75
담합	1	1	30	32	general	w2v	93.75
학습	1	1	31	32	general	w2v	96.875
전화	1	1	30	32	general	w2v	93.75
자격	1	1	30	32	general	w2v	93.75
오락	2	1	58	64	general	w2v	90.625
대학	5	1	151	160	general	w2v	94.375
강판	2	2	56	64	general	w2v	87.5
베트남	1	1	30	32	general	w2v	93.75
해발	1	1	28	32	general	w2v	87.5
마을	6	1	175	192	general	w2v	91.1458
비밀	1	1	27	32	general	w2v	84.375
중소	2	1	56	64	general	w2v	87.5
국가	7	1	186	224	general	w2v	83.0357
수주	1	1	29	32	general	w2v	90.625
역풍	1	1	30	32	general	w2v	93.75
부장	2	1	56	64	general	w2v	87.5
밥	2	1	59	64	general	w2v	92.1875
시	1	1	30	32	general	w2v	93.75
원인	1	1	29	32	general	w2v	90.625
기념	1	1	31	32	general	w2v	96.875
종사	1	1	31	32	general	w2v	96.875
생기	1	1	30	32	general	w2v	93.75
경영	3	1	85	96	general	w2v	88.5417
전집	1	1	30	32	general	w2v	93.75
약학	1	1	29	32	general	w2v	90.625
유니폼	2	1	59	64	general	w2v	92.1875
인상	2	2	56	64	general	w2v	87.5
합의	3	1	85	96	general	w2v	88.5417
약	1	1	30	32	general	w2v	93.75
역할	3	1	89	96	general	w2v	92.7083
입안	1	1	28	32	general	w2v	87.5
공짜	1	1	28	32	general	w2v	87.5
현장	5	1	147	160	general	w2v	91.875
소리	19	1	566	608	general	w2v	93.0921
농장	2	1	57	64	general	w2v	89.0625
초등	2	1	57	64	general	w2v	89.0625
직원	6	1	168	192	general	w2v	87.5
강	3	1	89	96	general	w2v	92.7083
이모	1	1	29	32	general	w2v	90.625
심의	2	1	61	64	general	w2v	95.3125
표시	1	1	31	32	general	w2v	96.875
가보	1	1	30	32	general	w2v	93.75
사랑	13	1	371	416	general	w2v	89.1827
협력	1	1	32	32	general	w2v	100.0
재물	1	1	29	32	general	w2v	90.625
시내	1	1	28	32	general	w2v	87.5
발전	5	1	134	160	general	w2v	83.75
징계	1	1	31	32	general	w2v	96.875
방황	1	1	30	32	general	w2v	93.75
단추	1	1	29	32	general	w2v	90.625
작년	1	1	31	32	general	w2v	96.875
압박	1	1	30	32	general	w2v	93.75
가격	4	2	113	128	general	w2v	88.2812
조직	3	1	86	96	general	w2v	89.5833
안	15	5	405	480	general	w2v	84.375
카메라	2	1	57	64	general	w2v	89.0625
고위	1	1	32	32	general	w2v	100.0
미래	6	1	176	192	general	w2v	91.6667
발굴	1	1	29	32	general	w2v	90.625
분야	4	1	114	128	general	w2v	89.0625
요금	1	1	29	32	general	w2v	90.625
삼성	2	2	59	64	general	w2v	92.1875
시간	21	2	624	672	general	w2v	92.8571
건축	1	1	29	32	general	w2v	90.625
비교	2	1	61	64	general	w2v	95.3125
체증	1	1	31	32	general	w2v	96.875
투자	10	2	296	320	general	w2v	92.5
상가	1	1	30	32	general	w2v	93.75
선로	1	1	29	32	general	w2v	90.625
해결	6	1	166	192	general	w2v	86.4583
광고	2	1	58	64	general	w2v	90.625
시연	1	1	28	32	general	w2v	87.5
수기	1	1	29	32	general	w2v	90.625
싸움	1	1	31	32	general	w2v	96.875
동아리	1	1	30	32	general	w2v	93.75
역경	1	1	29	32	general	w2v	90.625
나무	3	1	85	96	general	w2v	88.5417
길	14	2	404	448	general	w2v	90.1786
맨체스터	1	1	31	32	general	w2v	96.875
시스템	1	1	30	32	general	w2v	93.75
구원	1	1	28	32	general	w2v	87.5
물가	1	1	29	32	general	w2v	90.625
북	1	1	28	32	general	w2v	87.5
저항	1	1	31	32	general	w2v	96.875
애정	2	1	57	64	general	w2v	89.0625
여자	7	1	210	224	general	w2v	93.75
역대	5	1	145	160	general	w2v	90.625
심리	1	1	31	32	general	w2v	96.875
수확	1	1	30	32	general	w2v	93.75
선정	2	1	54	64	general	w2v	84.375
덕분	1	1	29	32	general	w2v	90.625
응원	1	1	29	32	general	w2v	90.625
모델	2	1	58	64	general	w2v	90.625
중국	4	1	113	128	general	w2v	88.2812
노력	6	1	168	192	general	w2v	87.5
디자인	2	1	57	64	general	w2v	89.0625
모욕	1	1	30	32	general	w2v	93.75
의심	1	1	30	32	general	w2v	93.75
무대	4	2	102	128	general	w2v	79.6875
형식	1	1	31	32	general	w2v	96.875
당적	1	1	29	32	general	w2v	90.625
이상	3	2	83	96	general	w2v	86.4583
원조	1	1	31	32	general	w2v	96.875
대응	1	1	30	32	general	w2v	93.75
인터넷	4	1	118	128	general	w2v	92.1875
여론	3	1	91	96	general	w2v	94.7917
베이징	1	1	30	32	general	w2v	93.75
조선	1	1	29	32	general	w2v	90.625
지상	1	1	27	32	general	w2v	84.375
신중	3	1	87	96	general	w2v	90.625
허약	1	1	29	32	general	w2v	90.625
자연	2	1	54	64	general	w2v	84.375
총	1	1	29	32	general	w2v	90.625
딸	12	1	341	384	general	w2v	88.8021
개교	2	1	61	64	general	w2v	95.3125
심사	1	1	30	32	general	w2v	93.75
시국	1	1	27	32	general	w2v	84.375
개관	1	1	30	32	general	w2v	93.75
시행	3	1	80	96	general	w2v	83.3333
내년	11	1	323	352	general	w2v	91.7614
제출	2	1	56	64	general	w2v	87.5
나중	2	1	58	64	general	w2v	90.625
가정	2	2	53	64	general	w2v	82.8125
챔피언	1	1	31	32	general	w2v	96.875
정식	1	1	30	32	general	w2v	93.75
발문	1	1	30	32	general	w2v	93.75
아내	2	1	58	64	general	w2v	90.625
소식	4	1	113	128	general	w2v	88.2812
불	3	1	82	96	general	w2v	85.4167
흙	2	1	56	64	general	w2v	87.5
과자	1	1	30	32	general	w2v	93.75
성향	2	1	56	64	general	w2v	87.5
성	1	1	27	32	general	w2v	84.375
계속	4	1	123	128	general	w2v	96.0938
해석	2	2	57	64	general	w2v	89.0625
제안	1	1	29	32	general	w2v	90.625
획득	1	1	30	32	general	w2v	93.75
유지	2	1	56	64	general	w2v	87.5
강조	2	1	54	64	general	w2v	84.375
단위	1	1	29	32	general	w2v	90.625
모퉁이	1	1	31	32	general	w2v	96.875
부족	1	1	28	32	general	w2v	87.5
개선	7	2	192	224	general	w2v	85.7143
수염	1	1	30	32	general	w2v	93.75
남북	2	1	54	64	general	w2v	84.375
이후	17	4	521	544	general	w2v	95.7721
곳	9	1	272	288	general	w2v	94.4444
기억	6	1	182	192	general	w2v	94.7917
영혼	1	1	27	32	general	w2v	84.375
확대	7	1	204	224	general	w2v	91.0714
잠깐	1	1	28	32	general	w2v	87.5
제목	1	1	30	32	general	w2v	93.75
발급	1	1	31	32	general	w2v	96.875
하위	1	1	32	32	general	w2v	100.0
이름	3	3	88	96	general	w2v	91.6667
지정	3	1	84	96	general	w2v	87.5
진행	4	2	119	128	general	w2v	92.9688
양호	1	1	28	32	general	w2v	87.5
감독	9	2	256	288	general	w2v	88.8889
차기	1	1	29	32	general	w2v	90.625
결합	1	1	30	32	general	w2v	93.75
수렴	1	1	29	32	general	w2v	90.625
열매	2	1	55	64	general	w2v	85.9375
가시	1	1	28	32	general	w2v	87.5
염두	1	1	29	32	general	w2v	90.625
토마토	1	1	30	32	general	w2v	93.75
독립	1	1	30	32	general	w2v	93.75
주인	1	1	30	32	general	w2v	93.75
대구	1	1	27	32	general	w2v	84.375
외교	2	1	58	64	general	w2v	90.625
감세	1	1	30	32	general	w2v	93.75
인절미	1	1	31	32	general	w2v	96.875
활용	3	1	84	96	general	w2v	87.5
가을	2	1	57	64	general	w2v	89.0625
도입	4	1	120	128	general	w2v	93.75
팝콘	1	1	30	32	general	w2v	93.75
생각	39	3	1125	1248	general	w2v	90.1442
운전	1	1	31	32	general	w2v	96.875
촬영	1	1	30	32	general	w2v	93.75
당시	7	1	191	224	general	w2v	85.2679
짐작	1	1	31	32	general	w2v	96.875
처리	4	2	107	128	general	w2v	83.5938
시험	6	2	166	192	general	w2v	86.4583
품	1	1	28	32	general	w2v	87.5
이해	3	1	86	96	general	w2v	89.5833
등	1	1	32	32	general	w2v	100.0
차이	1	1	29	32	general	w2v	90.625
반장	2	1	60	64	general	w2v	93.75
통로	1	1	29	32	general	w2v	90.625
특허	1	1	30	32	general	w2v	93.75
그림	6	1	165	192	general	w2v	85.9375
소문	1	1	29	32	general	w2v	90.625
지침	1	1	30	32	general	w2v	93.75
우리	1	1	29	32	general	w2v	90.625
가능	5	1	139	160	general	w2v	86.875
생명	1	1	29	32	general	w2v	90.625
유학	1	1	30	32	general	w2v	93.75
지속	3	1	90	96	general	w2v	93.75
리노	1	1	29	32	general	w2v	90.625
부결	2	1	57	64	general	w2v	89.0625
시설	1	1	30	32	general	w2v	93.75
연장	2	1	54	64	general	w2v	84.375
피	1	1	28	32	general	w2v	87.5
일대	1	1	30	32	general	w2v	93.75
비행	2	1	63	64	general	w2v	98.4375
시절	6	1	176	192	general	w2v	91.6667
산악	1	1	30	32	general	w2v	93.75
유효	1	1	28	32	general	w2v	87.5
구성	4	1	116	128	general	w2v	90.625
노선	3	2	86	96	general	w2v	89.5833
폴	1	1	30	32	general	w2v	93.75
격리	1	1	29	32	general	w2v	90.625
영역	2	1	59	64	general	w2v	92.1875
입장	4	1	100	128	general	w2v	78.125
오전	1	1	29	32	general	w2v	90.625
수비	2	1	58	64	general	w2v	90.625
선임	1	1	31	32	general	w2v	96.875
근로	1	1	31	32	general	w2v	96.875
진영	1	1	30	32	general	w2v	93.75
주시	1	1	32	32	general	w2v	100.0
총장	4	1	115	128	general	w2v	89.8438
보충	1	1	30	32	general	w2v	93.75
일반	5	1	152	160	general	w2v	95.0
충남	2	1	62	64	general	w2v	96.875
상처	2	2	57	64	general	w2v	89.0625
발동	1	1	31	32	general	w2v	96.875
끈	1	1	30	32	general	w2v	93.75
품질	2	1	53	64	general	w2v	82.8125
김	1	1	32	32	general	w2v	100.0
연설	1	1	30	32	general	w2v	93.75
충성	1	1	29	32	general	w2v	90.625
공식	1	1	29	32	general	w2v	90.625
게임	1	1	30	32	general	w2v	93.75
인재	3	2	83	96	general	w2v	86.4583
편성	1	1	30	32	general	w2v	93.75
학생	6	1	177	192	general	w2v	92.1875
검증	1	1	31	32	general	w2v	96.875
완료	2	1	54	64	general	w2v	84.375
기계	1	1	28	32	general	w2v	87.5
노병	1	1	30	32	general	w2v	93.75
리더십	1	1	30	32	general	w2v	93.75
출신	2	1	54	64	general	w2v	84.375
지분	2	1	55	64	general	w2v	85.9375
영업	1	1	31	32	general	w2v	96.875
미대	1	1	29	32	general	w2v	90.625
리그	1	1	30	32	general	w2v	93.75
대신	4	2	120	128	general	w2v	93.75
취지	1	1	30	32	general	w2v	93.75
통일	1	1	31	32	general	w2v	96.875
독서	1	1	30	32	general	w2v	93.75
유통	1	1	28	32	general	w2v	87.5
경고	1	1	29	32	general	w2v	90.625
채소	1	1	30	32	general	w2v	93.75
휴식	3	1	88	96	general	w2v	91.6667
소스	1	1	27	32	general	w2v	84.375
영상	2	1	55	64	general	w2v	85.9375
폐기	1	1	31	32	general	w2v	96.875
가락	1	1	29	32	general	w2v	90.625
영향	5	1	144	160	general	w2v	90.0
다큐멘터리	1	1	30	32	general	w2v	93.75
꼴찌	1	1	28	32	general	w2v	87.5
조작	1	1	30	32	general	w2v	93.75
영예	1	1	29	32	general	w2v	90.625
증가	2	1	58	64	general	w2v	90.625
성품	1	1	29	32	general	w2v	90.625
확충	2	1	54	64	general	w2v	84.375
사회	5	1	145	160	general	w2v	90.625
단체	2	1	61	64	general	w2v	95.3125
통제	2	1	60	64	general	w2v	93.75
산	1	1	29	32	general	w2v	90.625
광장	1	1	30	32	general	w2v	93.75
피아노	1	1	31	32	general	w2v	96.875
세일	1	1	29	32	general	w2v	90.625
확보	2	1	56	64	general	w2v	87.5
사용	3	1	83	96	general	w2v	86.4583
동력	1	1	29	32	general	w2v	90.625
데뷔	1	1	28	32	general	w2v	87.5
법안	3	1	88	96	general	w2v	91.6667
야당	4	1	118	128	general	w2v	92.1875
커피	1	1	29	32	general	w2v	90.625
공군	1	1	31	32	general	w2v	96.875
충전	1	1	29	32	general	w2v	90.625
관객	2	1	60	64	general	w2v	93.75
고개	3	1	87	96	general	w2v	90.625
충동	1	1	29	32	general	w2v	90.625
가축	1	1	29	32	general	w2v	90.625
신당	1	1	30	32	general	w2v	93.75
구청	1	1	30	32	general	w2v	93.75
화제	2	2	55	64	general	w2v	85.9375
권유	1	1	30	32	general	w2v	93.75
브루나이	1	1	27	32	general	w2v	84.375
명분	3	1	84	96	general	w2v	87.5
상한	1	1	30	32	general	w2v	93.75
시각	2	2	53	64	general	w2v	82.8125
시합	2	1	58	64	general	w2v	90.625
회사	1	1	31	32	general	w2v	96.875
허기	1	1	31	32	general	w2v	96.875
개원	1	1	29	32	general	w2v	90.625
기자	2	1	58	64	general	w2v	90.625
선행	1	1	30	32	general	w2v	93.75
충치	1	1	31	32	general	w2v	96.875
한국	32	3	898	1024	general	w2v	87.6953
위	8	1	229	256	general	w2v	89.4531
누명	1	1	31	32	general	w2v	96.875
법령	1	1	30	32	general	w2v	93.75
동네	1	1	29	32	general	w2v	90.625
농부	1	1	30	32	general	w2v	93.75
항소	1	1	31	32	general	w2v	96.875
모습	25	2	701	800	general	w2v	87.625
보고	1	1	30	32	general	w2v	93.75
가족	12	2	331	384	general	w2v	86.1979
다이어트	1	1	30	32	general	w2v	93.75
처음	6	1	179	192	general	w2v	93.2292
원천	1	1	31	32	general	w2v	96.875
과제	2	1	54	64	general	w2v	84.375
소명	1	1	31	32	general	w2v	96.875
소	1	1	28	32	general	w2v	87.5
축적	1	1	30	32	general	w2v	93.75
나라	1	1	31	32	general	w2v	96.875
영화	9	1	261	288	general	w2v	90.625
주차	1	1	27	32	general	w2v	84.375
디자이너	1	1	28	32	general	w2v	87.5
전문	1	1	27	32	general	w2v	84.375
규칙	1	1	29	32	general	w2v	90.625
부탁	1	1	30	32	general	w2v	93.75
콘서트	1	1	31	32	general	w2v	96.875
인연	3	2	88	96	general	w2v	91.6667
육수	1	1	29	32	general	w2v	90.625
올해	14	1	400	448	general	w2v	89.2857
마지막	4	1	112	128	general	w2v	87.5
회담	2	1	59	64	general	w2v	92.1875
공공	1	1	29	32	general	w2v	90.625
개전	1	1	32	32	general	w2v	100.0
초반	1	1	29	32	general	w2v	90.625
정당	1	1	31	32	general	w2v	96.875
사실	12	1	333	384	general	w2v	86.7188
이별	2	1	58	64	general	w2v	90.625
병원	7	2	198	224	general	w2v	88.3929
아이	35	1	1077	1120	general	w2v	96.1607
선거	6	3	175	192	general	w2v	91.1458
몰골	1	1	30	32	general	w2v	93.75
가동	2	1	59	64	general	w2v	92.1875
온기	1	1	30	32	general	w2v	93.75
고속	1	1	30	32	general	w2v	93.75
설비	2	1	59	64	general	w2v	92.1875
애송	1	1	29	32	general	w2v	90.625
선고	3	2	91	96	general	w2v	94.7917
집회	3	1	88	96	general	w2v	91.6667
병실	1	1	28	32	general	w2v	87.5
공모	2	1	60	64	general	w2v	93.75
비율	3	1	84	96	general	w2v	87.5
