lexeme	frequency of lexeme	sclasses num	num correct mlp	num all mlp	score		
검색	2	1	14	32	43.75		
열정	2	1	10	32	31.25		
빵	2	1	15	32	46.875		
타협	2	1	14	32	43.75		
고려	2	1	21	32	65.625		
식사	2	1	16	32	50		
메달	2	1	12	32	37.5		
그룹	2	1	17	32	53.125		
모시	2	1	22	32	68.75		
부업	2	1	11	32	34.375		
형제	2	1	21	32	65.625		
승부	2	1	14	32	43.75		
기준	2	1	17	32	53.125		
인류	2	1	10	32	31.25		
아내	2	1	16	32	50		
과제	2	1	19	32	59.375		
파악	2	1	16	32	50		
광고	2	1	15	32	46.875		
압력	2	1	22	32	68.75		
신뢰	2	1	15	32	46.875		
자	2	1	18	32	56.25		
난색	2	1	16	32	50		
연계	2	1	18	32	56.25		
가동	2	1	13	32	40.625		
의결	2	1	14	32	43.75		
거취	2	1	20	32	62.5		
제출	2	1	20	32	62.5		
교사	2	1	15	32	46.875		
지하	2	1	16	32	50		
신호	2	1	15	32	46.875		
밥	2	1	19	32	59.375		
옷	2	1	21	32	65.625		
시합	2	1	22	32	68.75		
논평	2	1	12	32	37.5		
금리	2	1	11	32	34.375		
품질	2	1	14	32	43.75		
오락	2	1	16	32	50		
부처	2	1	15	32	46.875		
조치	2	1	15	32	46.875		
수비	2	1	13	32	40.625		
공항	2	1	12	32	37.5		
육성	2	1	25	32	78.125		
재개	2	1	18	32	56.25		
강조	2	1	16	32	50		
식구	2	1	18	32	56.25		
로비	2	1	15	32	46.875		
작동	2	1	12	32	37.5		
확정	2	1	16	32	50		
연극	2	1	13	32	40.625		
관계	2	1	16	32	50		
농사	2	1	16	32	50		
신체	2	1	18	32	56.25		
부결	2	1	13	32	40.625		
키	2	1	18	32	56.25		
자연	2	1	13	32	40.625		
방귀	2	1	16	32	50		
시기	2	1	8	32	25		
공개	2	1	13	32	40.625		
천국	2	1	9	32	28.125		
심의	2	1	19	32	59.375		
공포	2	1	20	32	62.5		
수분	2	1	14	32	43.75		
용서	2	1	15	32	46.875		
출신	2	1	15	32	46.875		
설비	2	1	16	32	50		
축제	2	1	16	32	50		
확보	2	1	15	32	46.875		
보유	2	1	18	32	56.25		
우수	2	1	15	32	46.875		
봉사	2	1	17	32	53.125		
평생	2	1	17	32	53.125		
프로	2	1	17	32	53.125		
확충	2	1	15	32	46.875		
동일	2	1	19	32	59.375		
속도	2	1	17	32	53.125		
흙	2	1	17	32	53.125		
강제	2	1	15	32	46.875		
영역	2	1	16	32	50		
증가	2	1	18	32	56.25		
선정	2	1	18	32	56.25		
검사	2	1	15	32	46.875		
전부	2	1	19	32	59.375		
경악	2	1	18	32	56.25		
영상	2	1	20	32	62.5		
공모	2	1	13	32	40.625		
네덜란드	2	1	19	32	59.375		
근무	2	1	19	32	59.375		
문화	2	1	20	32	62.5		
치료	2	1	17	32	53.125		
서명	2	1	18	32	56.25		
벨	2	1	13	32	40.625		
의회	2	1	15	32	46.875		
동료	2	1	12	32	37.5		
공부	2	1	14	32	43.75		
수출	2	1	15	32	46.875		
전남	2	1	18	32	56.25		
위반	2	1	15	32	46.875		
여진	2	1	15	32	46.875		
선수	2	1	21	32	65.625		
연휴	2	1	18	32	56.25		
학원	2	1	13	32	40.625		
무리	2	1	19	32	59.375		
공간	2	1	15	32	46.875		
종료	2	1	16	32	50		
떡	2	1	13	32	40.625		
부장	2	1	15	32	46.875		
디자인	2	1	18	32	56.25		
회피	2	1	12	32	37.5		
성향	2	1	16	32	50		
정성	2	1	10	32	31.25		
제시	2	1	19	32	59.375		
기회	2	1	19	32	59.375		
반장	2	1	16	32	50		
민간	2	1	17	32	53.125		
기자	2	1	19	32	59.375		
당초	2	1	12	32	37.5		
고민	2	1	16	32	50		
이외	2	1	13	32	40.625		
발견	2	1	13	32	40.625		
고장	2	1	19	32	59.375		
이념	2	1	16	32	50		
거절	2	1	17	32	53.125		
표본	2	1	15	32	46.875		
절반	2	1	15	32	46.875		
외국	2	1	18	32	56.25		
매력	2	1	14	32	43.75		
장마	2	1	16	32	50		
가을	2	1	12	32	37.5		
개교	2	1	12	32	37.5		
수석	2	1	15	32	46.875		
총선	2	1	18	32	56.25		
정원	2	1	20	32	62.5		
이별	2	1	19	32	59.375		
총리	2	1	16	32	50		
시리아	2	1	20	32	62.5		
조바심	2	1	12	32	37.5		
애초	2	1	17	32	53.125		
공연	2	1	22	32	68.75		
기구	2	1	8	32	25		
거부	2	1	17	32	53.125		
외교	2	1	15	32	46.875		
진단	2	1	10	32	31.25		
약속	2	1	18	32	56.25		
남북	2	1	13	32	40.625		
새끼	2	1	16	32	50		
진실	2	1	17	32	53.125		
출시	2	1	15	32	46.875		
관객	2	1	15	32	46.875		
소득	2	1	17	32	53.125		
실력	2	1	15	32	46.875		
책상	2	1	20	32	62.5		
난국	2	1	17	32	53.125		
회담	2	1	15	32	46.875		
인기	2	1	19	32	59.375		
애정	2	1	14	32	43.75		
반복	2	1	16	32	50		
득점	2	1	13	32	40.625		
최대	2	1	16	32	50		
미	2	1	18	32	56.25		
행운	2	1	15	32	46.875		
카메라	2	1	18	32	56.25		
완료	2	1	19	32	59.375		
연기	2	1	14	32	43.75		
화	2	1	12	32	37.5		
나중	2	1	22	32	68.75		
고통	2	1	14	32	43.75		
회원	2	1	21	32	65.625		
모델	2	1	12	32	37.5		
점수	2	1	18	32	56.25		
개혁	2	1	19	32	59.375		
여당	2	1	13	32	40.625		
충남	2	1	12	32	37.5		
인사	2	1	17	32	53.125		
예방	2	1	9	32	28.125		
현상	2	1	17	32	53.125		
목적	2	1	19	32	59.375		
스타	2	1	13	32	40.625		
소통	2	1	11	32	34.375		
직장	2	1	14	32	43.75		
임기	2	1	14	32	43.75		
중소	2	1	17	32	53.125		
혼란	2	1	23	32	71.875		
비행	2	1	12	32	37.5		
지분	2	1	14	32	43.75		
안경	2	1	16	32	50		
조각	2	1	16	32	50		
제작	2	1	15	32	46.875		
오차	2	1	16	32	50		
죄	2	1	15	32	46.875		
공동	2	1	13	32	40.625		
유작	1	1	18	32	56.25		
육수	1	1	16	32	50		
누명	1	1	17	32	53.125		
창조	1	1	19	32	59.375		
유행	1	1	15	32	46.875		
무	1	1	16	32	50		
동력	1	1	18	32	56.25		
회보	1	1	21	32	65.625		
라이터	1	1	18	32	56.25		
복종	1	1	21	32	65.625		
선장	1	1	16	32	50		
정보	1	1	11	32	34.375		
전진	1	1	19	32	59.375		
애송	1	1	19	32	59.375		
항소	1	1	18	32	56.25		
짐작	1	1	18	32	56.25		
방한	1	1	16	32	50		
폴	1	1	14	32	43.75		
모욕	1	1	13	32	40.625		
라디오	1	1	16	32	50		
정당	1	1	21	32	65.625		
기계	1	1	16	32	50		
섭취	1	1	16	32	50		
인원	1	1	8	32	25		
부족	1	1	14	32	43.75		
현	1	1	19	32	59.375		
단가	1	1	14	32	43.75		
전략	1	1	13	32	40.625		
보험	1	1	20	32	62.5		
소속	1	1	18	32	56.25		
동포	1	1	17	32	53.125		
수정	1	1	21	32	65.625		
기원	1	1	15	32	46.875		
순위	1	1	13	32	40.625		
장	1	1	15	32	46.875		
방황	1	1	15	32	46.875		
북	1	1	15	32	46.875		
가결	1	1	17	32	53.125		
취재	1	1	20	32	62.5		
미사일	1	1	17	32	53.125		
강도	1	1	10	32	31.25		
뮤지컬	1	1	23	32	71.875		
생일	1	1	16	32	50		
의제	1	1	15	32	46.875		
산하	1	1	20	32	62.5		
손	1	1	17	32	53.125		
직후	1	1	12	32	37.5		
무기	1	1	14	32	43.75		
훈련	1	1	17	32	53.125		
전원	1	1	16	32	50		
보강	1	1	12	32	37.5		
선택	1	1	18	32	56.25		
체결	1	1	11	32	34.375		
귀국	1	1	15	32	46.875		
제정	1	1	15	32	46.875		
결혼	1	1	12	32	37.5		
보합	1	1	15	32	46.875		
수용	1	1	14	32	43.75		
마비	1	1	15	32	46.875		
해적	1	1	16	32	50		
심통	1	1	21	32	65.625		
전화	1	1	17	32	53.125		
음료	1	1	17	32	53.125		
아들	1	1	15	32	46.875		
영문	1	1	17	32	53.125		
사형	1	1	11	32	34.375		
징계	1	1	20	32	62.5		
황제	1	1	14	32	43.75		
투병	1	1	14	32	43.75		
이미지	1	1	17	32	53.125		
정년	1	1	17	32	53.125		
영업	1	1	15	32	46.875		
계곡	1	1	14	32	43.75		
개전	1	1	16	32	50		
각광	1	1	13	32	40.625		
대구	1	1	13	32	40.625		
회사	1	1	16	32	50		
청구	1	1	20	32	62.5		
선임	1	1	15	32	46.875		
권유	1	1	19	32	59.375		
덕목	1	1	15	32	46.875		
군대	1	1	17	32	53.125		
피아노	1	1	12	32	37.5		
채용	1	1	22	32	68.75		
식품	1	1	16	32	50		
결합	1	1	16	32	50		
날	1	1	13	32	40.625		
세원	1	1	16	32	50		
부탁	1	1	15	32	46.875		
감면	1	1	13	32	40.625		
방송	1	1	22	32	68.75		
협력	1	1	16	32	50		
집착	1	1	19	32	59.375		
토마토	1	1	21	32	65.625		
수주	1	1	16	32	50		
제목	1	1	19	32	59.375		
티브이	1	1	17	32	53.125		
숨	1	1	11	32	34.375		
검찰	1	1	17	32	53.125		
가락	1	1	18	32	56.25		
삭제	1	1	15	32	46.875		
케이블	1	1	18	32	56.25		
김	1	1	19	32	59.375		
틀	1	1	12	32	37.5		
처벌	1	1	15	32	46.875		
임대	1	1	18	32	56.25		
일독	1	1	17	32	53.125		
그리스	1	1	14	32	43.75		
부대	1	1	21	32	65.625		
영리	1	1	20	32	62.5		
입학	1	1	17	32	53.125		
스스로	1	1	19	32	59.375		
볼모	1	1	14	32	43.75		
번영	1	1	18	32	56.25		
백방	1	1	14	32	43.75		
개막	1	1	14	32	43.75		
대중	1	1	13	32	40.625		
체증	1	1	14	32	43.75		
한계	1	1	15	32	46.875		
심판	1	1	18	32	56.25		
합	1	1	19	32	59.375		
기본	1	1	13	32	40.625		
차량	1	1	16	32	50		
심금	1	1	16	32	50		
세제	1	1	20	32	62.5		
사기	1	1	18	32	56.25		
예측	1	1	16	32	50		
휘장	1	1	16	32	50		
보고	1	1	17	32	53.125		
주문	1	1	12	32	37.5		
가축	1	1	15	32	46.875		
단어	1	1	12	32	37.5		
발급	1	1	23	32	71.875		
실상	1	1	15	32	46.875		
국고	1	1	16	32	50		
자세	1	1	20	32	62.5		
개비	1	1	14	32	43.75		
소문	1	1	18	32	56.25		
판단	1	1	19	32	59.375		
배출	1	1	15	32	46.875		
전집	1	1	10	32	31.25		
집합	1	1	15	32	46.875		
권한	1	1	21	32	65.625		
원고	1	1	18	32	56.25		
짓	1	1	12	32	37.5		
종사	1	1	20	32	62.5		
애국	1	1	20	32	62.5		
공식	1	1	14	32	43.75		
수단	1	1	18	32	56.25		
묵	1	1	18	32	56.25		
초대	1	1	17	32	53.125		
싸움	1	1	21	32	65.625		
의자	1	1	20	32	62.5		
러시아	1	1	12	32	37.5		
의욕	1	1	17	32	53.125		
국법	1	1	16	32	50		
나라	1	1	16	32	50		
전개	1	1	14	32	43.75		
발굴	1	1	11	32	34.375		
출처	1	1	16	32	50		
포기	1	1	14	32	43.75		
집행	1	1	16	32	50		
난폭	1	1	15	32	46.875		
고층	1	1	13	32	40.625		
단순	1	1	14	32	43.75		
동전	1	1	17	32	53.125		
연말	1	1	13	32	40.625		
검증	1	1	13	32	40.625		
기호	1	1	19	32	59.375		
구청	1	1	17	32	53.125		
시설	1	1	22	32	68.75		
후원	1	1	15	32	46.875		
모임	1	1	12	32	37.5		
맨체스터	1	1	15	32	46.875		
근거	1	1	14	32	43.75		
유학	1	1	18	32	56.25		
지디피	1	1	13	32	40.625		
올	1	1	16	32	50		
양식	1	1	20	32	62.5		
약	1	1	13	32	40.625		
느낌	1	1	12	32	37.5		
성분	1	1	17	32	53.125		
행정	1	1	19	32	59.375		
모집	1	1	10	32	31.25		
꼴찌	1	1	11	32	34.375		
자격	1	1	17	32	53.125		
신생	1	1	17	32	53.125		
청년	1	1	16	32	50		
연봉	1	1	12	32	37.5		
거대	1	1	14	32	43.75		
혼합	1	1	12	32	37.5		
부과	1	1	16	32	50		
졸업	1	1	12	32	37.5		
난리	1	1	23	32	71.875		
위안	1	1	13	32	40.625		
현대	1	1	11	32	34.375		
세비야	1	1	17	32	53.125		
비정	1	1	17	32	53.125		
편성	1	1	20	32	62.5		
즐거움	1	1	15	32	46.875		
통지	1	1	12	32	37.5		
발주	1	1	17	32	53.125		
경험	1	1	16	32	50		
권력	1	1	13	32	40.625		
적응	1	1	21	32	65.625		
압박	1	1	15	32	46.875		
화엄	1	1	18	32	56.25		
감세	1	1	15	32	46.875		
장사	1	1	18	32	56.25		
시련	1	1	20	32	62.5		
교수	1	1	17	32	53.125		
위기	1	1	15	32	46.875		
입안	1	1	20	32	62.5		
덕분	1	1	21	32	65.625		
차기	1	1	16	32	50		
컨테이너	1	1	17	32	53.125		
조화	1	1	12	32	37.5		
공격	1	1	13	32	40.625		
희생	1	1	17	32	53.125		
강령	1	1	12	32	37.5		
철	1	1	14	32	43.75		
망치	1	1	16	32	50		
허기	1	1	15	32	46.875		
베트남	1	1	16	32	50		
거짓	1	1	18	32	56.25		
사임	1	1	17	32	53.125		
역량	1	1	18	32	56.25		
통풍	1	1	16	32	50		
발음	1	1	11	32	34.375		
면제	1	1	19	32	59.375		
서초	1	1	14	32	43.75		
재난	1	1	14	32	43.75		
개각	1	1	22	32	68.75		
오전	1	1	16	32	50		
국모	1	1	19	32	59.375		
까닭	1	1	13	32	40.625		
공군	1	1	13	32	40.625		
수확	1	1	10	32	31.25		
풍요	1	1	13	32	40.625		
억압	1	1	20	32	62.5		
정돈	1	1	19	32	59.375		
멕시코	1	1	13	32	40.625		
숙지	1	1	17	32	53.125		
전형	1	1	16	32	50		
국방	1	1	11	32	34.375		
축하	1	1	12	32	37.5		
머리	1	1	14	32	43.75		
과자	1	1	16	32	50		
쥐	1	1	17	32	53.125		
어머니	1	1	16	32	50		
유통	1	1	20	32	62.5		
충성	1	1	13	32	40.625		
연	1	1	15	32	46.875		
제자	1	1	15	32	46.875		
기능	1	1	18	32	56.25		
독서	1	1	15	32	46.875		
법령	1	1	19	32	59.375		
투수	1	1	14	32	43.75		
사전	1	1	21	32	65.625		
데이터	1	1	16	32	50		
이견	1	1	16	32	50		
시스템	1	1	18	32	56.25		
대결	1	1	20	32	62.5		
창업	1	1	18	32	56.25		
개통	1	1	16	32	50		
산	1	1	15	32	46.875		
악화	1	1	16	32	50		
수류탄	1	1	19	32	59.375		
허약	1	1	15	32	46.875		
한족	1	1	15	32	46.875		
철학	1	1	15	32	46.875		
단속	1	1	13	32	40.625		
재물	1	1	17	32	53.125		
공상	1	1	17	32	53.125		
재판	1	1	17	32	53.125		
제안	1	1	14	32	43.75		
응시	1	1	15	32	46.875		
광장	1	1	16	32	50		
가시	1	1	16	32	50		
차주	1	1	19	32	59.375		
교회	1	1	12	32	37.5		
지대	1	1	19	32	59.375		
초청	1	1	14	32	43.75		
명령	1	1	14	32	43.75		
호남	1	1	16	32	50		
경우	1	1	12	32	37.5		
일본	1	1	19	32	59.375		
관절	1	1	14	32	43.75		
유머	1	1	21	32	65.625		
찌개	1	1	15	32	46.875		
주시	1	1	12	32	37.5		
채소	1	1	16	32	50		
챔피언	1	1	19	32	59.375		
저서	1	1	16	32	50		
캠페인	1	1	19	32	59.375		
문건	1	1	16	32	50		
우리	1	1	17	32	53.125		
자녀	1	1	19	32	59.375		
프로젝트	1	1	20	32	62.5		
쓰레기	1	1	15	32	46.875		
임용	1	1	16	32	50		
개시	1	1	18	32	56.25		
국정	1	1	18	32	56.25		
인용	1	1	18	32	56.25		
원인	1	1	12	32	37.5		
피	1	1	15	32	46.875		
실현	1	1	18	32	56.25		
충치	1	1	11	32	34.375		
접촉	1	1	15	32	46.875		
넋	1	1	14	32	43.75		
토론	1	1	24	32	75		
경위	1	1	15	32	46.875		
적성	1	1	16	32	50		
전력	1	1	22	32	68.75		
새	1	1	19	32	59.375		
마력	1	1	18	32	56.25		
콘서트	1	1	14	32	43.75		
영혼	1	1	17	32	53.125		
수작	1	1	18	32	56.25		
고집	1	1	14	32	43.75		
씨	1	1	19	32	59.375		
꽃	1	1	18	32	56.25		
수업	1	1	15	32	46.875		
독립	1	1	17	32	53.125		
구분	1	1	16	32	50		
공고	1	1	17	32	53.125		
리그	1	1	17	32	53.125		
시연	1	1	18	32	56.25		
협업	1	1	18	32	56.25		
보충	1	1	15	32	46.875		
상한	1	1	16	32	50		
우울	1	1	17	32	53.125		
부여	1	1	16	32	50		
이웃	1	1	18	32	56.25		
해발	1	1	19	32	59.375		
숙식	1	1	20	32	62.5		
줄	1	1	19	32	59.375		
학년	1	1	14	32	43.75		
부엌	1	1	14	32	43.75		
원천	1	1	15	32	46.875		
연료	1	1	14	32	43.75		
전쟁	1	1	21	32	65.625		
용역	1	1	14	32	43.75		
거장	1	1	20	32	62.5		
지인	1	1	21	32	65.625		
달걀	1	1	16	32	50		
문구	1	1	18	32	56.25		
촬영	1	1	18	32	56.25		
시	1	1	13	32	40.625		
퇴장	1	1	19	32	59.375		
코트	1	1	14	32	43.75		
제한	1	1	17	32	53.125		
셀프	1	1	20	32	62.5		
수염	1	1	17	32	53.125		
달	1	1	12	32	37.5		
환경	1	1	18	32	56.25		
속성	1	1	14	32	43.75		
개원	1	1	16	32	50		
파동	1	1	19	32	59.375		
값	1	1	16	32	50		
맥주	1	1	14	32	43.75		
작년	1	1	14	32	43.75		
이식	1	1	12	32	37.5		
꼴	1	1	21	32	65.625		
본질	1	1	17	32	53.125		
개별	1	1	16	32	50		
범위	1	1	18	32	56.25		
개헌	1	1	12	32	37.5		
성	1	1	12	32	37.5		
여인	1	1	15	32	46.875		
일가	1	1	13	32	40.625		
예의	1	1	23	32	71.875		
개봉	1	1	16	32	50		
자동	1	1	16	32	50		
시국	1	1	14	32	43.75		
습기	1	1	17	32	53.125		
비밀	1	1	16	32	50		
인증	1	1	16	32	50		
배신	1	1	17	32	53.125		
접수	1	1	18	32	56.25		
교환	1	1	12	32	37.5		
별명	1	1	18	32	56.25		
효과	1	1	17	32	53.125		
종목	1	1	12	32	37.5		
스쿼시	1	1	21	32	65.625		
전과	1	1	17	32	53.125		
격리	1	1	17	32	53.125		
표현	1	1	20	32	62.5		
모퉁이	1	1	14	32	43.75		
물가	1	1	16	32	50		
