lexeme	frequency of lexeme	sclasses num	num correct mlp	num all mlp	mode	model	score
출발	3	1	27	32	weighted	bert	84.375
부상	1	1	26	32	weighted	bert	81.25
제정	1	1	31	32	weighted	bert	96.875
바람	5	1	28	32	weighted	bert	87.5
꽃	1	1	21	32	weighted	bert	65.625
사항	1	1	22	32	weighted	bert	68.75
얼굴	23	1	31	32	weighted	bert	96.875
제한	1	1	25	32	weighted	bert	78.125
허리	1	1	22	32	weighted	bert	68.75
영세	1	1	28	32	weighted	bert	87.5
짓	1	1	30	32	weighted	bert	93.75
역량	1	1	22	32	weighted	bert	68.75
오차	2	1	25	32	weighted	bert	78.125
힘	9	3	24	32	weighted	bert	75.0
위안	1	1	23	32	weighted	bert	71.875
경남	1	1	27	32	weighted	bert	84.375
예방	2	1	26	32	weighted	bert	81.25
관련	8	1	29	32	weighted	bert	90.625
세상	17	3	27	32	weighted	bert	84.375
티브이	1	1	25	32	weighted	bert	78.125
반대	5	1	28	32	weighted	bert	87.5
독일	2	1	25	32	weighted	bert	78.125
수사	3	1	28	32	weighted	bert	87.5
의자	1	1	26	32	weighted	bert	81.25
인용	1	1	30	32	weighted	bert	93.75
대처	1	1	26	32	weighted	bert	81.25
감지	1	1	27	32	weighted	bert	84.375
금리	2	1	28	32	weighted	bert	87.5
실현	1	1	26	32	weighted	bert	81.25
전략	1	1	21	32	weighted	bert	65.625
신약	1	1	27	32	weighted	bert	84.375
구매	1	1	26	32	weighted	bert	81.25
두려움	1	1	25	32	weighted	bert	78.125
형편	2	1	26	32	weighted	bert	81.25
협의	3	1	30	32	weighted	bert	93.75
인원	1	1	26	32	weighted	bert	81.25
장편	2	2	25	32	weighted	bert	78.125
패스	1	1	26	32	weighted	bert	81.25
진심	3	1	26	32	weighted	bert	81.25
달걀	1	1	25	32	weighted	bert	78.125
우승	3	1	29	32	weighted	bert	90.625
러시아	1	1	25	32	weighted	bert	78.125
대상	9	1	32	32	weighted	bert	100.0
개시	1	1	23	32	weighted	bert	71.875
발행	2	2	30	32	weighted	bert	93.75
특사	1	1	24	32	weighted	bert	75.0
거금	1	1	26	32	weighted	bert	81.25
부엌	1	1	27	32	weighted	bert	84.375
음성	1	1	26	32	weighted	bert	81.25
지하	2	1	26	32	weighted	bert	81.25
캠페인	1	1	23	32	weighted	bert	71.875
환자	3	1	29	32	weighted	bert	90.625
보강	1	1	21	32	weighted	bert	65.625
배신	1	1	25	32	weighted	bert	78.125
반항	1	1	26	32	weighted	bert	81.25
모임	1	1	23	32	weighted	bert	71.875
실천	2	1	24	32	weighted	bert	75.0
임신	1	1	28	32	weighted	bert	87.5
전승	1	1	27	32	weighted	bert	84.375
등장	1	1	29	32	weighted	bert	90.625
섭취	1	1	22	32	weighted	bert	68.75
근처	1	1	25	32	weighted	bert	78.125
기행	1	1	29	32	weighted	bert	90.625
비판	4	1	29	32	weighted	bert	90.625
호남	1	1	25	32	weighted	bert	78.125
가슴	12	1	31	32	weighted	bert	96.875
임용	1	1	27	32	weighted	bert	84.375
재직	1	1	25	32	weighted	bert	78.125
씨	1	1	26	32	weighted	bert	81.25
치즈	1	1	23	32	weighted	bert	71.875
문	2	2	26	32	weighted	bert	81.25
적용	4	1	30	32	weighted	bert	93.75
선별	1	1	23	32	weighted	bert	71.875
준비	6	1	29	32	weighted	bert	90.625
음악	6	1	30	32	weighted	bert	93.75
국방	1	1	23	32	weighted	bert	71.875
이행	1	1	24	32	weighted	bert	75.0
마음	51	2	30	32	weighted	bert	93.75
서명	2	1	28	32	weighted	bert	87.5
실패	4	1	25	32	weighted	bert	78.125
과잉	1	1	25	32	weighted	bert	78.125
공격	1	1	26	32	weighted	bert	81.25
스스로	1	1	23	32	weighted	bert	71.875
논의	4	1	30	32	weighted	bert	93.75
기원	1	1	27	32	weighted	bert	84.375
신청	5	2	29	32	weighted	bert	90.625
배출	1	1	26	32	weighted	bert	81.25
확정	2	1	27	32	weighted	bert	84.375
조화	1	1	25	32	weighted	bert	78.125
권력	1	1	28	32	weighted	bert	87.5
사내	3	1	26	32	weighted	bert	81.25
학원	2	1	25	32	weighted	bert	78.125
거부	2	1	30	32	weighted	bert	93.75
협상	1	1	25	32	weighted	bert	78.125
정년	1	1	21	32	weighted	bert	65.625
대표	14	2	29	32	weighted	bert	90.625
황제	1	1	24	32	weighted	bert	75.0
시인	2	1	24	32	weighted	bert	75.0
권	1	1	26	32	weighted	bert	81.25
인증	1	1	27	32	weighted	bert	84.375
조정	2	2	27	32	weighted	bert	84.375
가구	3	2	28	32	weighted	bert	87.5
개발	6	2	31	32	weighted	bert	96.875
배달	1	1	23	32	weighted	bert	71.875
구분	1	1	24	32	weighted	bert	75.0
전제	1	1	24	32	weighted	bert	75.0
신뢰	2	1	29	32	weighted	bert	90.625
요청	5	2	30	32	weighted	bert	93.75
날씨	4	1	29	32	weighted	bert	90.625
빙수	1	1	23	32	weighted	bert	71.875
창조	1	1	27	32	weighted	bert	84.375
압도	1	1	24	32	weighted	bert	75.0
주목	1	1	20	32	weighted	bert	62.5
근무	2	1	29	32	weighted	bert	90.625
프로젝트	1	1	26	32	weighted	bert	81.25
해외	3	1	30	32	weighted	bert	93.75
애	2	1	29	32	weighted	bert	90.625
국정	1	1	25	32	weighted	bert	78.125
의도	2	2	26	32	weighted	bert	81.25
이념	2	1	21	32	weighted	bert	65.625
쓰레기	1	1	26	32	weighted	bert	81.25
자료	5	1	28	32	weighted	bert	87.5
희생	1	1	22	32	weighted	bert	68.75
문제	22	3	30	32	weighted	bert	93.75
수분	2	1	22	32	weighted	bert	68.75
만찬	1	1	24	32	weighted	bert	75.0
애초	2	1	25	32	weighted	bert	78.125
억압	1	1	28	32	weighted	bert	87.5
안전	4	1	30	32	weighted	bert	93.75
현대	1	1	25	32	weighted	bert	78.125
발생	4	1	30	32	weighted	bert	93.75
안경	2	1	28	32	weighted	bert	87.5
시야	1	1	21	32	weighted	bert	65.625
북한	10	1	26	32	weighted	bert	81.25
방법	6	1	28	32	weighted	bert	87.5
고생	1	1	23	32	weighted	bert	71.875
장남	1	1	26	32	weighted	bert	81.25
구간	4	1	28	32	weighted	bert	87.5
금액	1	1	26	32	weighted	bert	81.25
글	1	1	26	32	weighted	bert	81.25
복종	1	1	20	32	weighted	bert	62.5
조사	8	1	32	32	weighted	bert	100.0
단순	1	1	25	32	weighted	bert	78.125
종전	1	1	27	32	weighted	bert	84.375
자신	16	1	31	32	weighted	bert	96.875
차관	1	1	24	32	weighted	bert	75.0
조각	2	1	30	32	weighted	bert	93.75
신앙	1	1	23	32	weighted	bert	71.875
애국	1	1	28	32	weighted	bert	87.5
집합	1	1	29	32	weighted	bert	90.625
당일	1	1	27	32	weighted	bert	84.375
접수	1	1	28	32	weighted	bert	87.5
선출	1	1	26	32	weighted	bert	81.25
세비야	1	1	27	32	weighted	bert	84.375
통지	1	1	31	32	weighted	bert	96.875
주체	1	1	20	32	weighted	bert	62.5
다수	1	1	23	32	weighted	bert	71.875
국회	7	1	31	32	weighted	bert	96.875
국립	1	1	25	32	weighted	bert	78.125
요구	3	1	28	32	weighted	bert	87.5
곁	3	1	28	32	weighted	bert	87.5
국법	1	1	26	32	weighted	bert	81.25
손	1	1	27	32	weighted	bert	84.375
원고	1	1	24	32	weighted	bert	75.0
구	4	2	28	32	weighted	bert	87.5
책상	2	1	29	32	weighted	bert	90.625
육성	2	1	28	32	weighted	bert	87.5
취임	5	1	29	32	weighted	bert	90.625
비난	1	1	27	32	weighted	bert	84.375
피아니스트	2	1	29	32	weighted	bert	90.625
범위	1	1	24	32	weighted	bert	75.0
승부	2	1	28	32	weighted	bert	87.5
공급	5	1	29	32	weighted	bert	90.625
실태	1	1	28	32	weighted	bert	87.5
신부	1	1	26	32	weighted	bert	81.25
말	10	2	29	32	weighted	bert	90.625
추억	3	1	32	32	weighted	bert	100.0
거절	2	1	29	32	weighted	bert	90.625
축하	1	1	25	32	weighted	bert	78.125
등록	3	1	29	32	weighted	bert	90.625
고집	1	1	23	32	weighted	bert	71.875
별명	1	1	23	32	weighted	bert	71.875
꼴	1	1	22	32	weighted	bert	68.75
라이터	1	1	23	32	weighted	bert	71.875
인기	2	1	29	32	weighted	bert	90.625
반감	1	1	22	32	weighted	bert	68.75
지디피	1	1	26	32	weighted	bert	81.25
행위	2	2	25	32	weighted	bert	78.125
법률	1	1	26	32	weighted	bert	81.25
교회	1	1	24	32	weighted	bert	75.0
옷	2	1	27	32	weighted	bert	84.375
감사	4	2	27	32	weighted	bert	84.375
보호	1	1	26	32	weighted	bert	81.25
공약	3	1	29	32	weighted	bert	90.625
보장	3	1	28	32	weighted	bert	87.5
정비	2	1	28	32	weighted	bert	87.5
세기	1	1	29	32	weighted	bert	90.625
추신	1	1	24	32	weighted	bert	75.0
결승	3	1	28	32	weighted	bert	87.5
승리	4	1	29	32	weighted	bert	90.625
부처	2	1	28	32	weighted	bert	87.5
날	1	1	25	32	weighted	bert	78.125
작업	3	2	25	32	weighted	bert	78.125
친구	13	2	30	32	weighted	bert	93.75
부여	1	1	28	32	weighted	bert	87.5
철	1	1	25	32	weighted	bert	78.125
다양	9	1	29	32	weighted	bert	90.625
원망	2	1	26	32	weighted	bert	81.25
고민	2	1	24	32	weighted	bert	75.0
데이터	1	1	26	32	weighted	bert	81.25
뒤	34	2	32	32	weighted	bert	100.0
오후	1	1	23	32	weighted	bert	71.875
정책	10	1	30	32	weighted	bert	93.75
상실	1	1	27	32	weighted	bert	84.375
일본	1	1	23	32	weighted	bert	71.875
단가	1	1	26	32	weighted	bert	81.25
문건	1	1	22	32	weighted	bert	68.75
압력	2	1	26	32	weighted	bert	81.25
예외	1	1	25	32	weighted	bert	78.125
위반	2	1	27	32	weighted	bert	84.375
모집	1	1	26	32	weighted	bert	81.25
세부	1	1	25	32	weighted	bert	78.125
담합	1	1	26	32	weighted	bert	81.25
학습	1	1	26	32	weighted	bert	81.25
전화	1	1	23	32	weighted	bert	71.875
자격	1	1	29	32	weighted	bert	90.625
오락	2	1	25	32	weighted	bert	78.125
대학	5	1	27	32	weighted	bert	84.375
강판	2	2	25	32	weighted	bert	78.125
베트남	1	1	26	32	weighted	bert	81.25
해발	1	1	25	32	weighted	bert	78.125
마을	6	1	31	32	weighted	bert	96.875
비밀	1	1	25	32	weighted	bert	78.125
중소	2	1	25	32	weighted	bert	78.125
국가	7	1	31	32	weighted	bert	96.875
수주	1	1	27	32	weighted	bert	84.375
역풍	1	1	24	32	weighted	bert	75.0
부장	2	1	27	32	weighted	bert	84.375
밥	2	1	21	32	weighted	bert	65.625
시	1	1	23	32	weighted	bert	71.875
원인	1	1	24	32	weighted	bert	75.0
기념	1	1	28	32	weighted	bert	87.5
종사	1	1	27	32	weighted	bert	84.375
생기	1	1	26	32	weighted	bert	81.25
경영	3	1	26	32	weighted	bert	81.25
전집	1	1	27	32	weighted	bert	84.375
약학	1	1	24	32	weighted	bert	75.0
유니폼	2	1	28	32	weighted	bert	87.5
인상	2	2	30	32	weighted	bert	93.75
합의	3	1	25	32	weighted	bert	78.125
약	1	1	26	32	weighted	bert	81.25
역할	3	1	25	32	weighted	bert	78.125
입안	1	1	26	32	weighted	bert	81.25
공짜	1	1	26	32	weighted	bert	81.25
현장	5	1	29	32	weighted	bert	90.625
소리	19	1	31	32	weighted	bert	96.875
농장	2	1	26	32	weighted	bert	81.25
초등	2	1	26	32	weighted	bert	81.25
직원	6	1	32	32	weighted	bert	100.0
강	3	1	23	32	weighted	bert	71.875
이모	1	1	19	32	weighted	bert	59.375
심의	2	1	26	32	weighted	bert	81.25
표시	1	1	19	32	weighted	bert	59.375
가보	1	1	25	32	weighted	bert	78.125
사랑	13	1	31	32	weighted	bert	96.875
협력	1	1	26	32	weighted	bert	81.25
재물	1	1	27	32	weighted	bert	84.375
시내	1	1	26	32	weighted	bert	81.25
발전	5	1	31	32	weighted	bert	96.875
징계	1	1	26	32	weighted	bert	81.25
방황	1	1	23	32	weighted	bert	71.875
단추	1	1	27	32	weighted	bert	84.375
작년	1	1	31	32	weighted	bert	96.875
압박	1	1	22	32	weighted	bert	68.75
가격	4	2	24	32	weighted	bert	75.0
조직	3	1	28	32	weighted	bert	87.5
안	15	5	29	32	weighted	bert	90.625
카메라	2	1	30	32	weighted	bert	93.75
고위	1	1	24	32	weighted	bert	75.0
미래	6	1	31	32	weighted	bert	96.875
발굴	1	1	28	32	weighted	bert	87.5
분야	4	1	30	32	weighted	bert	93.75
요금	1	1	26	32	weighted	bert	81.25
삼성	2	2	27	32	weighted	bert	84.375
시간	21	2	31	32	weighted	bert	96.875
건축	1	1	26	32	weighted	bert	81.25
비교	2	1	28	32	weighted	bert	87.5
체증	1	1	27	32	weighted	bert	84.375
투자	10	2	32	32	weighted	bert	100.0
상가	1	1	25	32	weighted	bert	78.125
선로	1	1	23	32	weighted	bert	71.875
해결	6	1	31	32	weighted	bert	96.875
광고	2	1	27	32	weighted	bert	84.375
시연	1	1	27	32	weighted	bert	84.375
수기	1	1	25	32	weighted	bert	78.125
싸움	1	1	26	32	weighted	bert	81.25
동아리	1	1	25	32	weighted	bert	78.125
역경	1	1	26	32	weighted	bert	81.25
나무	3	1	24	32	weighted	bert	75.0
길	14	2	31	32	weighted	bert	96.875
맨체스터	1	1	27	32	weighted	bert	84.375
시스템	1	1	22	32	weighted	bert	68.75
구원	1	1	27	32	weighted	bert	84.375
물가	1	1	25	32	weighted	bert	78.125
북	1	1	26	32	weighted	bert	81.25
저항	1	1	26	32	weighted	bert	81.25
애정	2	1	25	32	weighted	bert	78.125
여자	7	1	25	32	weighted	bert	78.125
역대	5	1	27	32	weighted	bert	84.375
심리	1	1	31	32	weighted	bert	96.875
수확	1	1	25	32	weighted	bert	78.125
선정	2	1	27	32	weighted	bert	84.375
덕분	1	1	24	32	weighted	bert	75.0
응원	1	1	29	32	weighted	bert	90.625
모델	2	1	23	32	weighted	bert	71.875
중국	4	1	30	32	weighted	bert	93.75
노력	6	1	30	32	weighted	bert	93.75
디자인	2	1	29	32	weighted	bert	90.625
모욕	1	1	21	32	weighted	bert	65.625
의심	1	1	28	32	weighted	bert	87.5
무대	4	2	28	32	weighted	bert	87.5
형식	1	1	27	32	weighted	bert	84.375
당적	1	1	25	32	weighted	bert	78.125
이상	3	2	28	32	weighted	bert	87.5
원조	1	1	20	32	weighted	bert	62.5
대응	1	1	22	32	weighted	bert	68.75
인터넷	4	1	27	32	weighted	bert	84.375
여론	3	1	29	32	weighted	bert	90.625
베이징	1	1	26	32	weighted	bert	81.25
조선	1	1	27	32	weighted	bert	84.375
지상	1	1	29	32	weighted	bert	90.625
신중	3	1	27	32	weighted	bert	84.375
허약	1	1	28	32	weighted	bert	87.5
자연	2	1	24	32	weighted	bert	75.0
총	1	1	24	32	weighted	bert	75.0
딸	12	1	31	32	weighted	bert	96.875
개교	2	1	30	32	weighted	bert	93.75
심사	1	1	29	32	weighted	bert	90.625
시국	1	1	28	32	weighted	bert	87.5
개관	1	1	29	32	weighted	bert	90.625
시행	3	1	30	32	weighted	bert	93.75
내년	11	1	26	32	weighted	bert	81.25
제출	2	1	30	32	weighted	bert	93.75
나중	2	1	26	32	weighted	bert	81.25
가정	2	2	21	32	weighted	bert	65.625
챔피언	1	1	28	32	weighted	bert	87.5
정식	1	1	30	32	weighted	bert	93.75
발문	1	1	24	32	weighted	bert	75.0
아내	2	1	25	32	weighted	bert	78.125
소식	4	1	22	32	weighted	bert	68.75
불	3	1	26	32	weighted	bert	81.25
흙	2	1	30	32	weighted	bert	93.75
과자	1	1	28	32	weighted	bert	87.5
성향	2	1	27	32	weighted	bert	84.375
성	1	1	25	32	weighted	bert	78.125
계속	4	1	27	32	weighted	bert	84.375
해석	2	2	30	32	weighted	bert	93.75
제안	1	1	24	32	weighted	bert	75.0
획득	1	1	23	32	weighted	bert	71.875
유지	2	1	26	32	weighted	bert	81.25
강조	2	1	27	32	weighted	bert	84.375
단위	1	1	24	32	weighted	bert	75.0
모퉁이	1	1	23	32	weighted	bert	71.875
부족	1	1	28	32	weighted	bert	87.5
개선	7	2	28	32	weighted	bert	87.5
수염	1	1	24	32	weighted	bert	75.0
남북	2	1	27	32	weighted	bert	84.375
이후	17	4	30	32	weighted	bert	93.75
곳	9	1	30	32	weighted	bert	93.75
기억	6	1	28	32	weighted	bert	87.5
영혼	1	1	27	32	weighted	bert	84.375
확대	7	1	30	32	weighted	bert	93.75
잠깐	1	1	21	32	weighted	bert	65.625
제목	1	1	21	32	weighted	bert	65.625
발급	1	1	27	32	weighted	bert	84.375
하위	1	1	23	32	weighted	bert	71.875
이름	3	3	29	32	weighted	bert	90.625
지정	3	1	29	32	weighted	bert	90.625
진행	4	2	29	32	weighted	bert	90.625
양호	1	1	27	32	weighted	bert	84.375
감독	9	2	29	32	weighted	bert	90.625
차기	1	1	24	32	weighted	bert	75.0
결합	1	1	24	32	weighted	bert	75.0
수렴	1	1	27	32	weighted	bert	84.375
열매	2	1	23	32	weighted	bert	71.875
가시	1	1	23	32	weighted	bert	71.875
염두	1	1	23	32	weighted	bert	71.875
토마토	1	1	21	32	weighted	bert	65.625
독립	1	1	22	32	weighted	bert	68.75
주인	1	1	28	32	weighted	bert	87.5
대구	1	1	26	32	weighted	bert	81.25
외교	2	1	28	32	weighted	bert	87.5
감세	1	1	25	32	weighted	bert	78.125
인절미	1	1	27	32	weighted	bert	84.375
활용	3	1	28	32	weighted	bert	87.5
가을	2	1	28	32	weighted	bert	87.5
도입	4	1	30	32	weighted	bert	93.75
팝콘	1	1	23	32	weighted	bert	71.875
생각	39	3	30	32	weighted	bert	93.75
운전	1	1	25	32	weighted	bert	78.125
촬영	1	1	23	32	weighted	bert	71.875
당시	7	1	28	32	weighted	bert	87.5
짐작	1	1	27	32	weighted	bert	84.375
처리	4	2	29	32	weighted	bert	90.625
시험	6	2	30	32	weighted	bert	93.75
품	1	1	26	32	weighted	bert	81.25
이해	3	1	29	32	weighted	bert	90.625
등	1	1	24	32	weighted	bert	75.0
차이	1	1	27	32	weighted	bert	84.375
반장	2	1	27	32	weighted	bert	84.375
통로	1	1	27	32	weighted	bert	84.375
특허	1	1	24	32	weighted	bert	75.0
그림	6	1	25	32	weighted	bert	78.125
소문	1	1	22	32	weighted	bert	68.75
지침	1	1	27	32	weighted	bert	84.375
우리	1	1	25	32	weighted	bert	78.125
가능	5	1	30	32	weighted	bert	93.75
생명	1	1	27	32	weighted	bert	84.375
유학	1	1	25	32	weighted	bert	78.125
지속	3	1	25	32	weighted	bert	78.125
리노	1	1	27	32	weighted	bert	84.375
부결	2	1	23	32	weighted	bert	71.875
시설	1	1	25	32	weighted	bert	78.125
연장	2	1	28	32	weighted	bert	87.5
피	1	1	27	32	weighted	bert	84.375
일대	1	1	27	32	weighted	bert	84.375
비행	2	1	26	32	weighted	bert	81.25
시절	6	1	31	32	weighted	bert	96.875
산악	1	1	26	32	weighted	bert	81.25
유효	1	1	25	32	weighted	bert	78.125
구성	4	1	30	32	weighted	bert	93.75
노선	3	2	28	32	weighted	bert	87.5
폴	1	1	27	32	weighted	bert	84.375
격리	1	1	25	32	weighted	bert	78.125
영역	2	1	25	32	weighted	bert	78.125
입장	4	1	32	32	weighted	bert	100.0
오전	1	1	26	32	weighted	bert	81.25
수비	2	1	28	32	weighted	bert	87.5
선임	1	1	27	32	weighted	bert	84.375
근로	1	1	27	32	weighted	bert	84.375
진영	1	1	21	32	weighted	bert	65.625
주시	1	1	29	32	weighted	bert	90.625
총장	4	1	30	32	weighted	bert	93.75
보충	1	1	28	32	weighted	bert	87.5
일반	5	1	28	32	weighted	bert	87.5
충남	2	1	25	32	weighted	bert	78.125
상처	2	2	28	32	weighted	bert	87.5
발동	1	1	24	32	weighted	bert	75.0
끈	1	1	23	32	weighted	bert	71.875
품질	2	1	28	32	weighted	bert	87.5
김	1	1	27	32	weighted	bert	84.375
연설	1	1	29	32	weighted	bert	90.625
충성	1	1	25	32	weighted	bert	78.125
공식	1	1	25	32	weighted	bert	78.125
게임	1	1	28	32	weighted	bert	87.5
인재	3	2	28	32	weighted	bert	87.5
편성	1	1	27	32	weighted	bert	84.375
학생	6	1	30	32	weighted	bert	93.75
검증	1	1	27	32	weighted	bert	84.375
완료	2	1	28	32	weighted	bert	87.5
기계	1	1	25	32	weighted	bert	78.125
노병	1	1	25	32	weighted	bert	78.125
리더십	1	1	24	32	weighted	bert	75.0
출신	2	1	29	32	weighted	bert	90.625
지분	2	1	29	32	weighted	bert	90.625
영업	1	1	30	32	weighted	bert	93.75
미대	1	1	24	32	weighted	bert	75.0
리그	1	1	26	32	weighted	bert	81.25
대신	4	2	31	32	weighted	bert	96.875
취지	1	1	26	32	weighted	bert	81.25
통일	1	1	25	32	weighted	bert	78.125
독서	1	1	23	32	weighted	bert	71.875
유통	1	1	24	32	weighted	bert	75.0
경고	1	1	25	32	weighted	bert	78.125
채소	1	1	26	32	weighted	bert	81.25
휴식	3	1	25	32	weighted	bert	78.125
소스	1	1	28	32	weighted	bert	87.5
영상	2	1	29	32	weighted	bert	90.625
폐기	1	1	21	32	weighted	bert	65.625
가락	1	1	20	32	weighted	bert	62.5
영향	5	1	28	32	weighted	bert	87.5
다큐멘터리	1	1	21	32	weighted	bert	65.625
꼴찌	1	1	28	32	weighted	bert	87.5
조작	1	1	20	32	weighted	bert	62.5
영예	1	1	27	32	weighted	bert	84.375
증가	2	1	29	32	weighted	bert	90.625
성품	1	1	21	32	weighted	bert	65.625
확충	2	1	26	32	weighted	bert	81.25
사회	5	1	30	32	weighted	bert	93.75
단체	2	1	26	32	weighted	bert	81.25
통제	2	1	25	32	weighted	bert	78.125
산	1	1	24	32	weighted	bert	75.0
광장	1	1	22	32	weighted	bert	68.75
피아노	1	1	27	32	weighted	bert	84.375
세일	1	1	22	32	weighted	bert	68.75
확보	2	1	30	32	weighted	bert	93.75
사용	3	1	30	32	weighted	bert	93.75
동력	1	1	27	32	weighted	bert	84.375
데뷔	1	1	24	32	weighted	bert	75.0
법안	3	1	27	32	weighted	bert	84.375
야당	4	1	29	32	weighted	bert	90.625
커피	1	1	26	32	weighted	bert	81.25
공군	1	1	25	32	weighted	bert	78.125
충전	1	1	26	32	weighted	bert	81.25
관객	2	1	26	32	weighted	bert	81.25
고개	3	1	27	32	weighted	bert	84.375
충동	1	1	25	32	weighted	bert	78.125
가축	1	1	26	32	weighted	bert	81.25
신당	1	1	28	32	weighted	bert	87.5
구청	1	1	27	32	weighted	bert	84.375
화제	2	2	24	32	weighted	bert	75.0
권유	1	1	26	32	weighted	bert	81.25
브루나이	1	1	28	32	weighted	bert	87.5
명분	3	1	30	32	weighted	bert	93.75
상한	1	1	26	32	weighted	bert	81.25
시각	2	2	25	32	weighted	bert	78.125
시합	2	1	26	32	weighted	bert	81.25
회사	1	1	29	32	weighted	bert	90.625
허기	1	1	24	32	weighted	bert	75.0
개원	1	1	25	32	weighted	bert	78.125
기자	2	1	31	32	weighted	bert	96.875
선행	1	1	24	32	weighted	bert	75.0
충치	1	1	24	32	weighted	bert	75.0
한국	32	3	30	32	weighted	bert	93.75
위	8	1	31	32	weighted	bert	96.875
누명	1	1	28	32	weighted	bert	87.5
법령	1	1	24	32	weighted	bert	75.0
동네	1	1	28	32	weighted	bert	87.5
농부	1	1	29	32	weighted	bert	90.625
항소	1	1	30	32	weighted	bert	93.75
모습	25	2	29	32	weighted	bert	90.625
보고	1	1	29	32	weighted	bert	90.625
가족	12	2	30	32	weighted	bert	93.75
다이어트	1	1	23	32	weighted	bert	71.875
처음	6	1	32	32	weighted	bert	100.0
원천	1	1	25	32	weighted	bert	78.125
과제	2	1	26	32	weighted	bert	81.25
소명	1	1	24	32	weighted	bert	75.0
소	1	1	22	32	weighted	bert	68.75
축적	1	1	25	32	weighted	bert	78.125
나라	1	1	28	32	weighted	bert	87.5
영화	9	1	30	32	weighted	bert	93.75
주차	1	1	23	32	weighted	bert	71.875
디자이너	1	1	28	32	weighted	bert	87.5
전문	1	1	25	32	weighted	bert	78.125
규칙	1	1	26	32	weighted	bert	81.25
부탁	1	1	23	32	weighted	bert	71.875
콘서트	1	1	27	32	weighted	bert	84.375
인연	3	2	27	32	weighted	bert	84.375
육수	1	1	30	32	weighted	bert	93.75
올해	14	1	28	32	weighted	bert	87.5
마지막	4	1	30	32	weighted	bert	93.75
